x cut 0.0, ge_77_surv: 0.0 +-0.06052275326688024, sig_surv: -15.984756383903154 +-0.03929046830674264
x cut 1.0, ge_77_surv: 0.31868131868131866 +-0.041235282445566755, sig_surv: -0.10258401308451304 +-0.010010675638234922
x cut 2.0, ge_77_surv: 0.38095238095238093 +-0.03746646630806872, sig_surv: 0.7835914157815328 +-0.0044350118657384
x cut 3.0, ge_77_surv: 0.4139194139194139 +-0.03547121070586388, sig_surv: 0.9314691001676925 +-0.0024957481700185395
x cut 4.0, ge_77_surv: 0.43956043956043955 +-0.03391934523748233, sig_surv: 0.961826289218078 +-0.001862686356839693
x cut 5.0, ge_77_surv: 0.4652014652014652 +-0.03236747976910079, sig_surv: 0.9711879373384065 +-0.0016182466607222677
x cut 6.0, ge_77_surv: 0.48351648351648346 +-0.03125900443454254, sig_surv: 0.9760959858675108 +-0.0014739846562009259
x cut 7.0, ge_77_surv: 0.4981684981684982 +-0.030372224166895945, sig_surv: 0.979549797795399 +-0.0013633468136400706
x cut 8.0, ge_77_surv: 0.5164835164835164 +-0.029263748832337698, sig_surv: 0.9827309403605591 +-0.0012528292630147732
x cut 9.0, ge_77_surv: 0.5311355311355311 +-0.028376968564691102, sig_surv: 0.9848214054748072 +-0.001174554908080963
x cut 10.0, ge_77_surv: 0.5494505494505495 +-0.027268493230132855, sig_surv: 0.9864574216511753 +-0.0011094512469487236
x cut 11.0, ge_77_surv: 0.5531135531135531 +-0.027046798163221208, sig_surv: 0.9879116582523914 +-0.0010481921644366066
x cut 12.0, ge_77_surv: 0.5714285714285714 +-0.025938322828662957, sig_surv: 0.9891841152784554 +-0.000991490526827029
x cut 13.0, ge_77_surv: 0.575091575091575 +-0.02571662776175131, sig_surv: 0.9899112335790635 +-0.0009575833315711223
x cut 14.0, ge_77_surv: 0.5970695970695971 +-0.024386457360281416, sig_surv: 0.9908201314548235 +-0.0009134310603689461
x cut 15.0, ge_77_surv: 0.5970695970695971 +-0.024386457360281416, sig_surv: 0.9917290293305836 +-0.0008670333137720977
x cut 16.0, ge_77_surv: 0.6007326007326007 +-0.02416476229336977, sig_surv: 0.9921834782684636 +-0.0008428772151165129
x cut 17.0, ge_77_surv: 0.6153846153846154 +-0.02327798202572317, sig_surv: 0.9930923761442236 +-0.0007923587980873664
x cut 18.0, ge_77_surv: 0.63003663003663 +-0.022391201758076573, sig_surv: 0.9937286046572557 +-0.0007549872783743954
x cut 19.0, ge_77_surv: 0.6336996336996337 +-0.022169506691164922, sig_surv: 0.9941830535951357 +-0.0007271183006080376
x cut 20.0, ge_77_surv: 0.641025641025641 +-0.021726116557341624, sig_surv: 0.9944557229578637 +-0.0007098719339587154
x cut 21.0, ge_77_surv: 0.6556776556776557 +-0.02083933628969503, sig_surv: 0.9945466127454398 +-0.0007040292672443921
x cut 22.0, ge_77_surv: 0.6593406593406593 +-0.020617641222783378, sig_surv: 0.9945466127454398 +-0.0007040292672443921
x cut 23.0, ge_77_surv: 0.6593406593406593 +-0.020617641222783378, sig_surv: 0.9947283923205917 +-0.0006921959998190203
x cut 24.0, ge_77_surv: 0.6593406593406593 +-0.020617641222783378, sig_surv: 0.9950010616833197 +-0.0006740567051136125
x cut 25.0, ge_77_surv: 0.663003663003663 +-0.02039594615587173, sig_surv: 0.9952737310460478 +-0.0006554155790426297
x cut 26.0, ge_77_surv: 0.6703296703296704 +-0.01995255602204843, sig_surv: 0.9956372901963517 +-0.0006297029198831305
x cut 27.0, ge_77_surv: 0.6813186813186813 +-0.01928747082131348, sig_surv: 0.9959099595590798 +-0.000609707230441387
x cut 28.0, ge_77_surv: 0.6886446886446886 +-0.018844080687490185, sig_surv: 0.9960917391342318 +-0.0005960041945165187
x cut 29.0, ge_77_surv: 0.6959706959706959 +-0.018400690553666884, sig_surv: 0.9961826289218078 +-0.0005890331454134588
x cut 30.0, ge_77_surv: 0.7032967032967032 +-0.017957300419843586, sig_surv: 0.9963644084969598 +-0.0005748374895780985
x cut 31.0, ge_77_surv: 0.7032967032967032 +-0.017957300419843586, sig_surv: 0.9963644084969598 +-0.0005748374895780985
x cut 32.0, ge_77_surv: 0.7032967032967032 +-0.017957300419843586, sig_surv: 0.9965461880721118 +-0.000560282279260399
x cut 33.0, ge_77_surv: 0.7032967032967032 +-0.017957300419843586, sig_surv: 0.9965461880721118 +-0.000560282279260399
x cut 34.0, ge_77_surv: 0.7032967032967032 +-0.017957300419843586, sig_surv: 0.9965461880721118 +-0.000560282279260399
x cut 35.0, ge_77_surv: 0.7106227106227105 +-0.01751391028602029, sig_surv: 0.9967279676472638 +-0.0005453387254560282
x cut 36.0, ge_77_surv: 0.7216117216117216 +-0.016848825085285343, sig_surv: 0.9969097472224159 +-0.0005299739790883915
x cut 37.0, ge_77_surv: 0.7216117216117216 +-0.016848825085285343, sig_surv: 0.9970006370099919 +-0.0005221220786608928
x cut 38.0, ge_77_surv: 0.728937728937729 +-0.01640543495146204, sig_surv: 0.9971824165851438 +-0.0005060529202108699
x cut 39.0, ge_77_surv: 0.728937728937729 +-0.01640543495146204, sig_surv: 0.9973641961602958 +-0.0004894564853822315
x cut 40.0, ge_77_surv: 0.728937728937729 +-0.01640543495146204, sig_surv: 0.9974550859478719 +-0.0004809435492831932
x cut 41.0, ge_77_surv: 0.728937728937729 +-0.01640543495146204, sig_surv: 0.9976368655230239 +-0.00046344880043635103
x cut 42.0, ge_77_surv: 0.728937728937729 +-0.01640543495146204, sig_surv: 0.9978186450981759 +-0.0004452672047823308
x cut 43.0, ge_77_surv: 0.728937728937729 +-0.01640543495146204, sig_surv: 0.9978186450981759 +-0.0004452672047823308
x cut 44.0, ge_77_surv: 0.728937728937729 +-0.01640543495146204, sig_surv: 0.9978186450981759 +-0.0004452672047823308
x cut 45.0, ge_77_surv: 0.73992673992674 +-0.015740349750727096, sig_surv: 0.9979095348857518 +-0.0004358921084042002
x cut 46.0, ge_77_surv: 0.7435897435897436 +-0.015518654683815445, sig_surv: 0.9979095348857518 +-0.0004358921084042002
x cut 47.0, ge_77_surv: 0.7435897435897436 +-0.015518654683815445, sig_surv: 0.9979095348857518 +-0.0004358921084042002
x cut 48.0, ge_77_surv: 0.7435897435897436 +-0.015518654683815445, sig_surv: 0.9979095348857518 +-0.0004358921084042002
x cut 49.0, ge_77_surv: 0.7472527472527473 +-0.015296959616903796, sig_surv: 0.9980913144609039 +-0.0004165093314654984
x cut 50.0, ge_77_surv: 0.7472527472527473 +-0.015296959616903796, sig_surv: 0.9980913144609039 +-0.0004165093314654984
