x cut 0.0, ge_77_surv: 0.0, sig_surv: -15.984756383903154
x cut 1.0, ge_77_surv: 0.21978021978021978, sig_surv: 0.5340080590978238
x cut 2.0, ge_77_surv: 0.25274725274725274, sig_surv: 0.7141516180734653
x cut 3.0, ge_77_surv: 0.2857142857142857, sig_surv: 0.7936801822024693
x cut 4.0, ge_77_surv: 0.293040293040293, sig_surv: 0.8350350355495515
x cut 5.0, ge_77_surv: 0.3076923076923077, sig_surv: 0.8629382003353849
x cut 6.0, ge_77_surv: 0.3296703296703297, sig_surv: 0.8828430638145299
x cut 7.0, ge_77_surv: 0.336996336996337, sig_surv: 0.8975672094018428
x cut 8.0, ge_77_surv: 0.3589743589743589, sig_surv: 0.9104735592376354
x cut 9.0, ge_77_surv: 0.3626373626373627, sig_surv: 0.9213803337467559
x cut 10.0, ge_77_surv: 0.37362637362637363, sig_surv: 0.9302875329292044
x cut 11.0, ge_77_surv: 0.3772893772893773, sig_surv: 0.9368315976346767
x cut 12.0, ge_77_surv: 0.38827838827838823, sig_surv: 0.941285197225901
x cut 13.0, ge_77_surv: 0.39560439560439564, sig_surv: 0.9461932457550052
x cut 14.0, ge_77_surv: 0.39560439560439564, sig_surv: 0.9502832861959254
x cut 15.0, ge_77_surv: 0.4065934065934066, sig_surv: 0.9528282002480536
x cut 16.0, ge_77_surv: 0.4139194139194139, sig_surv: 0.9557366734504857
x cut 17.0, ge_77_surv: 0.4212454212454212, sig_surv: 0.9580998079274619
x cut 18.0, ge_77_surv: 0.43223443223443225, sig_surv: 0.9608265015547419
x cut 19.0, ge_77_surv: 0.4358974358974359, sig_surv: 0.9626442973062621
x cut 20.0, ge_77_surv: 0.4432234432234432, sig_surv: 0.9648256522080861
x cut 21.0, ge_77_surv: 0.44688644688644685, sig_surv: 0.9658254398714222
x cut 22.0, ge_77_surv: 0.45421245421245426, sig_surv: 0.9676432356229423
x cut 23.0, ge_77_surv: 0.4578754578754579, sig_surv: 0.9692792517993104
x cut 24.0, ge_77_surv: 0.4652014652014652, sig_surv: 0.9705517088253744
x cut 25.0, ge_77_surv: 0.4798534798534798, sig_surv: 0.9714606067011345
x cut 26.0, ge_77_surv: 0.48351648351648346, sig_surv: 0.9723695045768945
x cut 27.0, ge_77_surv: 0.48351648351648346, sig_surv: 0.9734601820278066
x cut 28.0, ge_77_surv: 0.4871794871794872, sig_surv: 0.9739146309656866
x cut 29.0, ge_77_surv: 0.4945054945054945, sig_surv: 0.9750053084165987
x cut 30.0, ge_77_surv: 0.5018315018315018, sig_surv: 0.9759142062923587
x cut 31.0, ge_77_surv: 0.5018315018315018, sig_surv: 0.9769139939556948
x cut 32.0, ge_77_surv: 0.5018315018315018, sig_surv: 0.9777320020438789
x cut 33.0, ge_77_surv: 0.5018315018315018, sig_surv: 0.9780046714066069
x cut 34.0, ge_77_surv: 0.5091575091575091, sig_surv: 0.9791862386450949
x cut 35.0, ge_77_surv: 0.5164835164835164, sig_surv: 0.979640687582975
x cut 36.0, ge_77_surv: 0.5164835164835164, sig_surv: 0.980186026308431
x cut 37.0, ge_77_surv: 0.5238095238095238, sig_surv: 0.980640475246311
x cut 38.0, ge_77_surv: 0.5384615384615384, sig_surv: 0.981094924184191
x cut 39.0, ge_77_surv: 0.5494505494505495, sig_surv: 0.9818220424847991
x cut 40.0, ge_77_surv: 0.5567765567765568, sig_surv: 0.9824582709978311
x cut 41.0, ge_77_surv: 0.5604395604395604, sig_surv: 0.9832762790860151
x cut 42.0, ge_77_surv: 0.5604395604395604, sig_surv: 0.9837307280238952
x cut 43.0, ge_77_surv: 0.5641025641025641, sig_surv: 0.9842760667493512
x cut 44.0, ge_77_surv: 0.5714285714285714, sig_surv: 0.9850031850499592
x cut 45.0, ge_77_surv: 0.575091575091575, sig_surv: 0.9852758544126873
x cut 46.0, ge_77_surv: 0.5787545787545787, sig_surv: 0.9855485237754152
x cut 47.0, ge_77_surv: 0.5824175824175823, sig_surv: 0.9858211931381433
x cut 48.0, ge_77_surv: 0.5897435897435898, sig_surv: 0.9859120829257193
x cut 49.0, ge_77_surv: 0.5897435897435898, sig_surv: 0.9860938625008713
x cut 50.0, ge_77_surv: 0.5897435897435898, sig_surv: 0.9865483114387513
