x cut 0.0, ge_77_surv: 0.0 +-0.06052275326688024, sig_surv: -15.984756383903154 +-0.03929046830674264
x cut 1.0, ge_77_surv: 0.21978021978021978 +-0.047221049252181284, sig_surv: 0.5340080590978238 +-0.006507988054746946
x cut 2.0, ge_77_surv: 0.25274725274725274 +-0.04522579364997644, sig_surv: 0.7141516180734653 +-0.005097126515228694
x cut 3.0, ge_77_surv: 0.2857142857142857 +-0.0432305380477716, sig_surv: 0.7936801822024693 +-0.004330400029135595
x cut 4.0, ge_77_surv: 0.293040293040293 +-0.042787147913948304, sig_surv: 0.8350350355495515 +-0.0038721609698441563
x cut 5.0, ge_77_surv: 0.3076923076923077 +-0.0419003676463017, sig_surv: 0.8629382003353849 +-0.003529520910308052
x cut 6.0, ge_77_surv: 0.3296703296703297 +-0.0405701972448318, sig_surv: 0.8828430638145299 +-0.003263183881265797
x cut 7.0, ge_77_surv: 0.336996336996337 +-0.04012680711100851, sig_surv: 0.8975672094018428 +-0.003051244758829401
x cut 8.0, ge_77_surv: 0.3589743589743589 +-0.03879663670953862, sig_surv: 0.9104735592376354 +-0.0028525495934912494
x cut 9.0, ge_77_surv: 0.3626373626373627 +-0.03857494164262696, sig_surv: 0.9213803337467559 +-0.0026731488482786996
x cut 10.0, ge_77_surv: 0.37362637362637363 +-0.037909856441892015, sig_surv: 0.9302875329292044 +-0.002517171294025068
x cut 11.0, ge_77_surv: 0.3772893772893773 +-0.03768816137498037, sig_surv: 0.9368315976346767 +-0.0023961140775221506
x cut 12.0, ge_77_surv: 0.38827838827838823 +-0.037023076174245426, sig_surv: 0.941285197225901 +-0.002310103017552437
x cut 13.0, ge_77_surv: 0.39560439560439564 +-0.03657968604042212, sig_surv: 0.9461932457550052 +-0.0022114439770163446
x cut 14.0, ge_77_surv: 0.39560439560439564 +-0.03657968604042212, sig_surv: 0.9502832861959254 +-0.002125733180958833
x cut 15.0, ge_77_surv: 0.4065934065934066 +-0.03591460083968717, sig_surv: 0.9528282002480536 +-0.0020706121942633882
x cut 16.0, ge_77_surv: 0.4139194139194139 +-0.03547121070586388, sig_surv: 0.9557366734504857 +-0.0020057627844520106
x cut 17.0, ge_77_surv: 0.4212454212454212 +-0.03502782057204058, sig_surv: 0.9580998079274619 +-0.0019514864992786372
x cut 18.0, ge_77_surv: 0.43223443223443225 +-0.03436273537130563, sig_surv: 0.9608265015547419 +-0.0018869210243935626
x cut 19.0, ge_77_surv: 0.4358974358974359 +-0.03414104030439398, sig_surv: 0.9626442973062621 +-0.0018426209275339916
x cut 20.0, ge_77_surv: 0.4432234432234432 +-0.033697650170570685, sig_surv: 0.9648256522080861 +-0.0017880125835495557
x cut 21.0, ge_77_surv: 0.44688644688644685 +-0.033475955103659034, sig_surv: 0.9658254398714222 +-0.001762418369908188
x cut 22.0, ge_77_surv: 0.45421245421245426 +-0.03303256496983573, sig_surv: 0.9676432356229423 +-0.0017149050821773223
x cut 23.0, ge_77_surv: 0.4578754578754579 +-0.03281086990292408, sig_surv: 0.9692792517993104 +-0.0016709884135255413
x cut 24.0, ge_77_surv: 0.4652014652014652 +-0.03236747976910079, sig_surv: 0.9705517088253744 +-0.0016360161763680848
x cut 25.0, ge_77_surv: 0.4798534798534798 +-0.03148069950145419, sig_surv: 0.9714606067011345 +-0.0016105711392179905
x cut 26.0, ge_77_surv: 0.48351648351648346 +-0.03125900443454254, sig_surv: 0.9723695045768945 +-0.0015847175961747329
x cut 27.0, ge_77_surv: 0.48351648351648346 +-0.03125900443454254, sig_surv: 0.9734601820278066 +-0.001553125370920998
x cut 28.0, ge_77_surv: 0.4871794871794872 +-0.03103730936763089, sig_surv: 0.9739146309656866 +-0.001539770648626097
x cut 29.0, ge_77_surv: 0.4945054945054945 +-0.030593919233807592, sig_surv: 0.9750053084165987 +-0.0015072366133235674
x cut 30.0, ge_77_surv: 0.5018315018315018 +-0.030150529099984294, sig_surv: 0.9759142062923587 +-0.0014795785459673927
x cut 31.0, ge_77_surv: 0.5018315018315018 +-0.030150529099984294, sig_surv: 0.9769139939556948 +-0.001448544850995391
